YES;NO
Paolo De Castro;BOCCARDI Michele
Herbert Dorfmann;CALIENDO Giacomo
Roberto Gualtieri;CANDIANI Stefano
Cécile Kyenge;CARDIELLO Franco
Alessandra Moretti;CARRARO Franco
Damiano Zoffoli;CASSANO Massimo
Alessia Mosca;CASSINELLI Roberto
Pier Antonio Panzeri;CENTINAIO Gian Marco
Giuseppina Picierno;CERONI Remigio
Gianni Pittella;COMAROLI Silvana
Patrizia Toia;CONSIGLIO Nunziante
Flavio Zanonato;CROSIO Jonny
AGOSTINI Luciano;D'ALI' Antonio
AIELLO Ferdinando;DE PIETRO Cristina
ALBANELLA Luisella;DE SIANO Domenico
AMATO Maria;DIVINA Sergio
AMENDOLA Vincenzo;FASANO Vincenzo
AMICI Sesa;FAZZONE Claudio
AMODDIO Sofia;FLORIS Emilio
ANTEZZA Maria;GALIMBERTI Paolo
ANZALDI Michele;GASPARRI Maurizio
ARGENTIN Ileana;GHEDINI Niccolo'
ARLOTTI Tiziano;GIBIINO Vincenzo
ASCANI Anna;GIRO Francesco Maria
BARBANTI Sebastiano;MALAN Lucio
BARETTA Pier Paolo;MANDELLI Andrea
BARGERO Cristina;MARIN Marco
BARUFFI Davide;MAURO Mario
BASSO Lorenzo;MESSINA Alfredo
BATTAGLIA Demetrio;MUGNAI Franco
BAZOLI Alfredo;PALMA Nitto Francesco
BECATTINI Lorenzo;PELINO Paola
BELLANOVA Teresa;PICCINELLI Enrico
BENAMATI Gianluca;PICCOLI Giovanni
BENI Paolo;RAZZI Antonio
BERGONZI Marco;RIZZOTTI Maria
BERLINGHIERI Marina;ROMANI Paolo
BERNARDO Maurizio;ROSSI Mariarosaria
BERRETTA Giuseppe;SCHIFANI Renato Giuseppe
BIANCHI Mariastella;SCIASCIA Salvatore
BINDI Rosy;SCILIPOTI Domenico
BINI Caterina;SCOMA Francesco
BIONDELLI Franca Maria Grazia;SERAFINI Giancarlo
BLAZINA Tamara;SIBILIA Cosimo
BOBBA Luigi;STEFANI Erika
BOCCADUTRI Sergio;STUCCHI Giacomo
BOCCI Gianpiero;TOSATO Paolo
BOCCIA Francesco;VOLPI Raffaele
BOCCUZZI Antonio;ZUFFADA Sante
BOLDRINI Paola;AGOSTINELLI Donatella
BOLOGNESI Paolo;ALBERTI Dino
BONACCORSI Lorenza;ALLASIA Stefano
BONIFAZI Francesco;ALTIERI Trifone
BONOMO Francesca;ANGELUCCI Antonio
BORDO Michele;ARCHI Bruno
BORGHI Enrico;ATTAGUILE Angelo
BORLETTI BUITONI Ilaria;BALDELLI Simone
BOSCHI Maria Elena;BARONI Massimo Enrico
BRAGA Chiara;BASILIO Tatiana
BRAGANTINI Paola;BATTELLI Sergio
BRANDOLIN Giorgio;BENEDETTI Silvia
BRESSA Gianclaudio;BERGAMINI Deborah
BRUNO BOSSIO Enza;BERNINI Paolo
BURTONE Giovanni Mario Salvino;BERNINI Massimiliano
CAMANI Vanessa;BIANCHI Nicola
CAMPANA Micaela;BIANCOFIORE Michaela
CANI Emanuele;BIASOTTI Sandro
CAPONE Salvatore;BONAFEDE Alfonso
CAPOZZOLO Sabrina;BORGHESI Stefano
CARBONE Ernesto;BOSSI Umberto
CARDINALE Daniela;BRAMBILLA Michela Vittoria
CARELLA Renzo;BRESCIA Giuseppe
CARLONI Anna Maria;BRUGNEROTTO Marco
CARNEVALI Elena;BRUNETTA Renato
CAROCCI Mara;BUSIN Filippo
CARRA Marco;BUSINAROLO Francesca
CARRESCIA Piergiorgio;BUSTO Mirko
CARROZZA Maria Chiara;CALABRIA Annagrazia
CASATI Ezio Primo;CANCELLERI Azzurra
CASELLATO Floriana;CAON Roberto
CASSANO Franco;CAPARINI Davide
CASTRICONE Antonio;CARFAGNA Maria Rosaria
CAUSI Marco;CARIELLO Francesco
CENNI Susanna;CARINELLI Paola
CENSORE Bruno;CASO Vincenzo
CHAOUKI Khalid;CASTELLI Laura
COCCIA Laura;CASTIELLO Giuseppina
COLANINNO Matteo;CATANOSO Basilio
COMINELLI Miriam;CAUSIN Andrea
COPPOLA Paolo;CECCONI Andrea
COSCIA Maria;CENTEMERO Elena
COVA Paolo;CESARO Luigi
COVELLO Stefania;CHIMIENTI Silvia
CRIMÌ Filippo;CIPRINI Tiziana
CRIVELLARI Diego;CIRIELLI Edmondo
CULOTTA Magda;COLLETTI Andrea
CUOMO Antonio;COLONNESE Vega
CUPERLO Giovanni;COMINARDI Claudio
CURRÒ Tommaso;CORDA Emanuela
D'ARIENZO Vincenzo;COZZOLINO Emanuele
D'INCECCO Vittoria;CRIMI Rocco
D'OTTAVIO Umberto;CRIPPA Davide
DAL MORO Gian Pietro;D'AMBROSIO Giuseppe
DALLAI Luigi;D'INCÀ Federico
DAMIANO Cesare;D'UVA Francesco
DE MARIA Andrea;DA VILLA Marco
DE MENECH Roger;DADONE Fabiana
DE MICHELI Paola;DAGA Federica
DEL BASSO DE CARO Umberto;DALL'OSSO Matteo
DELL'ARINGA Carlo;DE GIROLAMO Nunzia
DI GIOIA Raffaele;DE LORENZIS Diego
DI LELLO Marco;DE ROSA Massimo
DI MAIO Marco;DEL GROSSO Daniele
DI SALVO Titti;DELL'ORCO Michele
DONATI Marco;DELLA VALLE Ivan
ERMINI David;DI BATTISTA Alessandro
FABBRI Marilena;DI BENEDETTO Chiara
FAMIGLIETTI Luigi;DI MAIO Luigi
FANUCCI Edoardo;DI STEFANO Manlio
FARAONE Davide;DI STEFANO Fabrizio
FARINA Gianni;DIENI Federica
FEDI Marco;FANTINATI Mattia
